A&A,Astronomy And Astrophysics
HPAS,Hypermedia Presentation And Authoring System
HPFS,High Performance File System
HSL,Hypermedia Synchronization Language
HSM,Hierarchical Storage Management
HTML,Hypertext Markup Language
HTTP,Hypertext Transfer Protocol
HTTPD,Hypertext Transfer Protocol Daemon (Server)
I/O,Input/Output
IAB,Internet Architecture Board
IAC,Internet Access Coalition
IAD,Integrated Access Device
IAHC,Internet International Ad Hoc Committee
IANA,Internet Assigned Numbers Authority
IANAL,I Am Not A Lawyer
IAS,Internet Authentication Service
IBM,International Business Machines
ICA,Independent Computing Architecture
ICANN,The Internet Corporation For Assigned Names And Numbers
ICMP,Internet Control Message Protocol
IDE,Intelligent (Integrated) Drive Electronics
IDEA,International Data Encryption Algorithm
IDSL,ISDN Digital Subscriber Line
IEEE,Institute Of Electrical And Electronics Engineers
IETF,Internet Engineering Task Force
IGES,Initial Graphics Exchange Specification
IGMP,Internet Group Management Protocol
IIM,Internet Interaction Management
IIOP,Internet Inter-ORB Protocol
IIS,Internet Information Server
IMAP,Internet Message Access Protocol
IMHO,In My Humble Opinion
INTERNIC,Internet Network Information Center
IOS,Input Output System
IP,Internet Protocol
IPSEC,Internet Protocol Security
IPTV,Internet Protocol Television
IPX,Internetwork Packet Exchange
IRC,Internet Relay Chat
IRDA,Infrared Data Association
IRQ,Interrupt Request
ISA,Industry Standard Architecture
ISAM,Indexed Sequential Access Method
ISAPI,Internet Server API
ISDN,Integrated Services Digital Network
ISO,International Organization For Standardization
ISP,Internet Service Provider
ITU,International Telecommunications Union
IX,Internet Exchange
JBIG,Joint Bi-level Image Experts Group
JCL,Job Control Language
JDBC,Java Database Connectivity
JDK,Java Developers (Development) Kit
JEIDA,Japan Electronic Industry Development Association
JFIF,JPEG File Interchange Format
JPEG,Joint Photographic Experts Group
KB,Kilobit
KB,Kilobyte
KBPS,Kilobits Per Second
L2TP,Layer Two Tunneling Protocol
LAN,Local Area Network
LAWN,Local-Area Wireless Network
LBA,Logical Block Addressing
LBV,Layered Biometric Verification
LCD,Liquid-Crystal Display
LDAP,Lightweight Directory Access Protocol
LED,Light Emitting Diode
LEP,Light Emitting Polymers
LGMR,Laser Guided Magnetic Recording
LI-ION,Lithium Ion
LIFO,"Last In, First Out"
LILO,Linux Loader
LIM,Lifeline Interface Module
LIM,Lotus-Intel-Microsoft
LMB,Left Mouse Button
LPM,Lifeline Port Module
LPM,Lines Per Minute
LPT,Local Printer Terminal
LTO,Linear Tape Open
LZW,Lempel-Zif-Welsh
MAE,Metropolitan Area Exchange (Ethernet)
MAN,Metropolitan Area Network
MAPI,Messaging Application Programming Interface
MARS,Multi-player Animated Role-playing System
MATHML,Mathematical Markup Language
MAU,Media Access Unit
MAU,Multistation Access Unit
MB,Megabit
MB,Megabyte
MBPS,Megabits Per Second
MBR,Master Boot Record
MCA,Micro Channel Architecture
MCGA,Multi-Color Graphics Array
MCI,Media Control Interface
MDA,Monochrome Display Adapter
MDC,Metadata Coalition
MDI,Multiple Document Interface
MDIS,Metadata Interchange Specification
MEMS,MicroElectro-Mechanical System
MFLOPS,Millions Of Floating Point Operations Per Second
MFM,Modified Frequency Modulation
MIB,Management Information Base
MICR,Magnetic Ink Character Recognition (Reader)
MIDI,Musical Instrument Digital Interface
MIF,Management Information Format
MILNET,Military Network
MIME,Multipurpose Internet Mail Extension
MIPS,Millions Of Instructions Per Second
MIS,Management Information System
MIS,Management Information Services
MLC,Multilevel Cell
MMDS,Multichannel Multipoint Distribution System
MMU,Memory Management Unit
MMX,Matrix Math Extensions (Multimedia Extensions)
MNG,Multiple-image Network Graphics
MNP,Microcom Networking Protocol
MODEM,Modulator/Demodulator
MOF,Meta Object Facility
MOO,"Mud, Object Oriented"
MOS,Metal Oxide Semiconductor
MOSFET,Metal Oxide Semiconductor Field Effect Transistor
MOSIS,MOS Implementation System
MOSS,Mime Object Security Services
MP3,MPEG Layer 3
MPC,Matchbox PC
MPC,Multimedia Personal Computer
MPEG,Motion Picture Experts Group
MPI,Message Passing Interface
MRC,Magneto-Resistive Cluster
MS-DOS,Microsoft Disk Operating System
MSN,Microsoft Network
MTA,Media Terminal Adapter
MTBF,Mean Time Between Failure
MTU,Maximum Transmission Unit
MUD,Multiple User (or Multi-User) Dungeon (Dimension)
MUSH,Multi-User Shared Hallucination
MVS,Multiple Virtual Storage
NAP,Network Access Point
NAS,Network-Attached Storage
NAT,Network Address Translation
NCSA,National Center For Supercomputing Applications
NDIS,Network Driver Interface Specification
NDMP,Network Data Management Protocol
NDS,Novell Directory Services
NETBEUI,Network BIOS Extended User Interface
NETBIOS,Network Basic Input Output System
NFS,Network File System
NGI,Next Generation Internet
NIC,Network Interface Card
NIMH,Nickel Metal Hydride
NNTP,Network News Transfer Protocol
NOP,No Operation
NOS,Network Operating System
NSAPI,Netscape Server API
NSF,National Science Foundation
NSFNET,National Science Foundation Network
NSP,Network Service Provider
NTFS,NT File System
NTSC,National Television Standards Committee
NUMA,Non-Uniform Memory Access
NURBS,Non-Uniform Rational B-Spline
NVRAM,Non-Volatile RAM
OC,Optical Carrier
OCR,Optical Character Recognition
OCX,OLE Custom Control
ODBC,Open Database Connectivity
ODI,Open Data-link Interface
OEM,Original Equipment Manufacturer
OIM,Open Information Model
OLAP,Online Analytical Processing
OLE,Object Linking And Embedding
OLED,Organic Light-Emitting Diode
OLTP,On-Line Transaction Processing
OMG,Object Management Group
OMG,Oh My God
OOP,Object-Oriented Programming
OPENSRS,Open Shared Registration System
OPSEC,Open Platform For Secure Enterprise Connectivity Alliance
OSF,Open Software Foundation
OSI,Open System Interconnection
OSPF,Open Shortest Path First
OSR,OEM System Release
OTOH,On The Other Hand
P-SRAM,Pseudo-Static RAM
P3P,Platform For Privacy Preferences
PAD,Portable Application Description
PAL,Phase Alternating Line
PAL,Programmable Array Logic
PAN,Personal Area Network
PAP,Password Authentication Protocol
PB SRAM,Pipelined Burst Static RAM
PBX,Private Branch Exchange
PC,Personal Computer
PC/TV,Personal Computer And Television
PCB,Printed Circuit Board
PCI,Peripheral Component Interface
PCL,Printer Control Language
PCM,Pulse Code Modulation
PCMCIA,Personal Computer Memory Card International Association
PCS,Personal Communications System
PDA,Personal Digital Assistant
PDC,Primary Domain Controller
PDF,Portable Document Format
PDL,Page Description Language
PE,Portable Executable
PERL,Practical Extraction And Report Language
PFR,Portable Font Resource
PGA,Pad Grid Array
PGA,Pin Grid Array
PGA,Professional Graphic Adapter
PGM,Pragmatic General Multicast / Pretty Good Multicast
PGP,Pretty Good Privacy
PHB,Photochemical Hole Burning
PHP,PHP Hypertext Preprocessor (Personal Home Page)
PIC,Programmable Interrupt Controller
PICNIC,"Problem In Chair, Not In Computer"
PIF,Program Information File
PIM,Personal Information Manager
PIN,Personal Identification Number
PING,Packet Internet Groper
PIO,Programmed Input Output
PIP,Peripheral Interchange Program
PISO,Parallel-In/Serial-Out
PITA,Pain In The Ass / Arse
PJTF,Portable Job Ticket Format
PKI,Public Key Infrastructure
PLA,Programmable Logic Array
PLD,Programmable Logic Device
PMML,Predictive Modeling Markup Language
PMS,Pantone Matching System
PMT,Photomultiplier Tube
PNG,Portable Network Graphics; Image Format
PNP,Plug And Play
POP,Post Office Protocol
POS,Pivoting Optical Servo
POSIX,Portable Operating System Interface For UNIX
POST,Power On Self Test
POTS,Plain Old Telephone Service
PPCP,PowerPC Platform
PPM,Pages Per Minute
PPP,Point-to-Point Protocol
PPPTP,Point-to-Point Tunneling Protocol
PQDIF,Power Quality Data Interchange Format
PRAM,Parameter RAM
PRI,Primary-Rate Interface
PRL,Packetized Residential Lifeline
PROM,Programmable Read-Only Memory
PSTN,Public Switched Telephone Network
PTH,Plated Through-Hole
PUP,Potentially Unwanted Program
PURL,Persistent URL
PVC,Permanent Virtual Circuit
PWB,Printed Wire Board
QBE,Query By Example
QCELP,QualComm Code Excited Linear Predictive Coding
QCIF,Quarter Common Intermediate Format
QIC,Quarter-Inch Cartridge
QOS,Quality Of Service
QSIG,Q (point Of The ISDN Model) Signaling
RADIUS,Remote Authentication Dial-In User Service
RADSL,Rate-Adaptive Digital Subscriber Line
RAID,Redundant Array Of Independent Disks
RAID,Redundant Array Of Inexpensive Disks
RAM,Random Access Memory
RAMDAC,Random Access Memory Digital-to-Analog Converter
RARP,Reverse Address Resolution Protocol
RAS,Remote Access Services
RC4,RC4 Stream Cipher (Rivest Cipher 4)
RDBMS,Relational Database Management System
RDF,Resource Description Framework
RDRAM,Rambus DRAM
RFC,Request For Comments
RFI,Radio Frequency Interference
RFID,Radio Frequency Identification
RFP,Request For Proposal
RGB,Red Green Blue
RIP,Raster Image Processor
RIP,Regulation Of Investigatory Powers Act
RISC,Reduced Instruction-Set Computing
RJ-11,Registered Jack-11
RJ-45,Registered Jack-45
RLL,Run Length Limited
RMB,Right Mouse Button
RMON,Remote Monitoring
RMTP,Reliable Multicast Transport Protocol
ROFL,"Rolling On Floor, Laughing"
ROM,Read-Only Memory
RPG,Report Program Generator
RPG,Role-Playing Game
RPM,Revolutions Per Minute
RSN,Real Soon Now
RSVP,Resource Reservation Setup Protocol
RTF,Rich Text Format
RTFM,Read The F*cking Manual
RTSP,Realtime Streaming Protocol
RTT,Round-trip Time
S-HTTP,Secure HTTP
S/MIME,Secure/MIME
SAA,System Application Architecture
SAN,Storage Area Network
SAP,"SAP America, Inc. (SAP AG)"
SAP,Secondary Audio Program
SAP,Service Advertising Protocol
SAS,Serial Attached SCSI
SBB,Storage Bridge Bay Working Group
SCAM,SCSI Configuration Automatically
SCART,Syndicat Des Constructeurs D'Appareils Radior?cepteurs Et T?l?viseurs (Radio And Television Receiver Manufacturer's Association); 21-pin Connector Standard For AV (Audio-visual) Equipment
SCSI,Small Computer System Interface
SDH,Synchronous Digital Hierarchy
SDK,Software Development Kit
SDRAM,Synchronous Dynamic RAM
SDSL,Symmetric Digital Subscriber Line
SET,Secure Electronic Transaction
SFF,Small Form-Factor
SGI,Silicon Graphics Incorporated
SGML,Standard Generalized Markup Language
SGRAM,Synchronous Graphic RAM
SIG,Special Interest Group
SIMD,Single Instruction Multiple Data
SIMM,Single In-line Memory Module
SIP,Single In-line Package
SLDRAM,SyncLink DRAM
SLED,Single Large Expensive Disk
SLIP,Serial Line Internet Protocol
SMART,"Self-Monitoring, Analysis And Reporting Technology"
SMB,Server Message Block
SMDS,Switched Multimegabit Data Services
SMIF,Stream-based Model Interchange Format
SMIL,Synchronized Multimedia Integration Language
SMP,Simple Management Protocol
SMP,Symmetric Multiprocessing
SMS,Systems Management Server
SMTP,Simple Mail Transfer Protocol
SNA,Systems Network Architecture
SNMP,Simple Network Management Protocol
SOAP,Simple Object Access Protocol
SOC,System-on-a-Chip
SOHO,Small Office/Home Office
SONET,Synchronous Optical Network
SPARC,Scalable Processor Architecture
SPE,Superparamagnetic Effect
SPEC,Standard Performance Evaluation Corporation
SPID,Service Profile (Provider) Identification
SPIM,Spam Over Instant Messaging
SPX,Sequenced Packet Exchange
SQL,Structured Query Language
SRAM,Static Random Access Memory
SSD,Solid-state Disk
SSI,Server-Side Include
SSL,Secure Sockets Layer
SSSCA,Security Systems Standards And Certification Act
ST506/412,Seagate Technologies 506 And 412 Controller (older Technology)
SVC,Switched Virtual Circuit
SVG,Scalable Vector Graphics
SVGA,Super Video Graphics Array
SWISH,Simple Web Indexing System For Humans
SYN,Synchronize Sequence Number
SYSOP,System Operator
T1,T-One - Carrier Signal (communications)
T3,T-Three - Carrier Signal (communications)
TA,Terminal Adapter
TANSTAAFL,There Ain't No Such Thing As A Free Lunch
TAPI,Telephony Application Programming Interface
TCP/IP,Transmission / Transport Control Protocol/Internet Protocol
TDM,Time Division Multiplexing
TDMA,Time Division Multiple Access
TFT,Thin Film Transistor
TFTP,Trivial File Transfer Protocol
TIA,Thanks In Advance
TIFF,Tagged Image File Format
TIGA,Texas Instruments Graphics Architecture
TLD,Top-Level Domain
TOPS,Transparent Operating System
TPI,Tracks Per Inch
TRAM,Transactional RAM
TSAPI,Telephony Service API
TSR,Terminate-and-Stay-Resident
TTF,True Type Font
TTL,Transistor-Transistor Logic
TWAIN,Technology Without An Interesting Name
TWIP,Twentieth Of A Point
UAC,User Account Control
UART,Universal Asynchronous Receiver/Transmitter
UCITA,Uniform Computer Information Transaction Act
UDDI,"Universal Description, Discovery And Integration"
UDP,UDP - User Datagram Protocol
UIN,Universal Internet Number
ULSI,Ultra Large Scale Integration
ULTRAATA,Ultra AT Attachment
ULTRADMA,Ultra Direct Memory Access
UMB,Upper Memory Block
UML,Unified Modeling Language
UNC,Universal Naming Convention
UNIX,Universal Interactive Executive / Uniplexed Information And Computing System
UPS,Uninterruptible Power Supply
URI,Uniform Resource Indicator
URL,Uniform Resource Locator
USB,Universal Serial Bus
USENET,User Network
USR,US Robotics
UTP,Unshielded Twisted Pair
UUCP,UNIX-to-UNIX Copy
UUENCODE,UNIX-to-UNIX Encode
VAR,Value-Added Reseller
VAX,Virtual Address Extension
VBE,Vesa Bios Extension
VBNS,Very High-speed Backbone Network Service
VCM SDRAM,Virtual-Channel Memory SDRAM
VCPI,Virtual Control Program Interface
VCSEL,Vertical-Cavity Surface-Emitting Laser
VDSL,Very High Bit Rate DSL
VDT,Video Display Terminal
VERONICA,Very Easy Rodent-Oriented Networkwide Index To Computerized Archives
VESA,Video Electronics Standards Association
VFAT,Virtual File Allocation Table
VFW,Video For Windows
VGA,Video Graphics Array (Adapter)
VLAN,Virtual LAN
VLB,VESA Local Bus (or VL Bus)
VLB,VESA Local Bus (or VL Bus)
VME BUS,VersaModule Eurocard Bus
VMS,Virtual Memory System
VOB,Voice Over Broadband
VODSL,Voice Over Digital Subscriber Line
VOIP,Voice Over Internet Protocol
VPN,Virtual Private Network
VR,Virtual Reality
VRAM,Video Random Access Memory
VRM,Voltage Regulator Module
VRML,Virtual Reality Modeling Language
VRU,Virus Research Unit
VSA,Virtual Storage Architecture
VTAM,Virtual Telecommunications Access Method
VTC,Virus Test Center
W3C,World Wide Web Consortium
WAFS,Wide-area File Sharing
WAI,Web Accessibility Initiative
WAIS,Wide-Area Information Server
WAN,Wide Area Network
WAP,Wireless Application Protocol
WAP,Wireless Access Protocol
WATS,Web-based Assessment And Testing Systems
WATS,Wide Area Telecommunications System
WCS,World Coordinate System
WDM,Wavelength Division Multiplexing
WEBCGM,Web Computer Graphics Metafile
WEBINAR,Web-based Seminar
WEP,Wireless Equivalent Privacy
WFW,Windows For Workgroups
WIAD,Wireless Integrated Access Device
WIMP,"Windows, Icons, Menus And Pointing Device"
WINCE,Windows CE
WINS,Windows Internet Name Service
WINSOCK,Windows Socket
WINTEL,Windows/Intel
WIT,Wireless Information Terminal
WLAN,Wireless Local Area Network
WLANA,Wireless LAN Association
WMF,Windows Meta File
WML,Wireless Markup Language
WNIU,Wireless Network Interface Unit
WORM,Write Once Read Many
WOSA,Windows Open Services Architecture
WP,WordPerfect
WPA,Wi-Fi Protected Access (WPA And WPA2)
WRAM,Windows Random Access Memory
WSDL,Web Services Description Language
WWW,World-Wide Web
WYSIWYG,What You See Is What You Get
WYSIWYP,What You See Is What You Print
XDSL,X Digital Subscriber Line
XGA,Extended Graphics Array (Adapter)
XMI,XML Metadata Interchange
XML,Extensible Markup Language
XMLC,Extensible Markup Language Compiler
XMS,Extended Memory Specification
XPS,XML Paper Specification
XSL,Extensible Style Language
XT,Extended
XTA,XT (Extended) Attachment
XUL,XML-based User Interface Language
Y2K,Year 2000
YAHOO,Yet Another Hierarchical Officious Oracle
YTD,Year To Date
ZAW,Zero Administration For Windows
ZCAV,Zoned Constant Angular Velocity
ZDI,Zero Day Initiative
ZIF,Zero Insertion Force
ZV,Zoomed Video Port
ADC,Association Of District Councils
ADR,American Depository Receipt
AEF,Aggregate External Finance
AIG,American International Group
AIR,Assumed Interest Rate
ALACE,Association Of Local Authority Chief Executives
AME,Annually Managed Expenditure
AMEX,American Express (credit Card)
APR,Annual Percentage Rate
ARM,Adjustable Rate Mortgage
ARS,Auction Rate Securities
ATM,Automated Teller Machine
BCA,Basic Credit Approval
BTA,British Tourist Authority
BVI,Best Value Initiative
CABE,Commission For Architecture & The Built Environment
CB,Carte Blanche (as In Diner's Club Carte Blanche Credit Card)
CBD,Commerce Business Daily
CC,Cross Cutting
CCN,County Council Network
CCSS,Community Charge For Standard Spending
CCT,Compulsory Competitive Tendering
CD,Certificate Of Deposit
CDO'S,Collateralised Debt Obligations
CDSC,Contingent Deferred Sales Charge
CFP,Certified Financial Planner
CIPFA,Chartered Institute Of Public Finance And Accountancy
CLO'S,Collateralised Loan Obligations
CM,Command Paper
CMF,Capital Modernisation Fund
CMO,Collateralized Mortgage Obligation
CMPS,Centre For Management And Policy Studies
COVE,Centres Of Vocational Excellence
CSR,Comprehensive Spending Review
CUSIP,Committee On Uniform Securities Identification Procedures
DB,"Defined Benefit (retirement Plan; For Example, A Pension)"
DC,"Defined Contribution (retirement Plan; For Example, A 401(k) Plan)"
DCA,Dollar Cost Averaging
DCMS,"Department Of Culture, Media And Sport "
DEFRA,"Department Of Environment, Food And Rural Affairs "
DEL,Departmental Expenditure Limit
DFEE,Department For Education And Employment
DFES,Department For Education And Skills
DIS,Departmental Investment Strategies (UK)
DR,The Daily Reckoning
DTCC,Depository Trust & Clearing Corporation
DTLR,"Department Of Transport, Local Government And The Regions "
DWP,Department For Work And Pensions
EFT,Electronic Funds Transfer
EMA,Education Maintenance Allowances
EPS,Earnings Per Share
ERISA,Employee Retirement Income Security Act Of 1974
ETF,Exchange Traded Funds
ETN'S,Efficiency Technical Notes
EU,European Union
FASB,Financial Accounting Standards Board
FDIC,Federal Deposit Insurance Corporation
FIFO,"First In, First Out"
FMA,Foundation Modern Apprenticeship
FOMC,Federal Open Market Committee
FOREX,Foreign Exchange
FRB,Federal Reserve Board
GDP,Gross Domestic Product
GEP,General Expenditure Policy
GES,General Expenditure Statistics
GL,General Ledger
GLA,Greater London Authority
GNP,Gross National Product
GO,General Obligation Bond
GPC,Government Procurement Card
GTA,Group Training Associates
GUDD,"Gold Up, Dollar Down"
HRA,Housing Revenue Account
IA,Investment Adviser
IBD,Investors Business Daily
ICT,Information & Communication Technology
IFS,Infiniti Financial Services
IMF,International Monetary Fund
ING,Internationale Nederlanden Group (a Financial Company)
IOU,I Owe You
IPO,Initial Public Offering
IRA,Individual Retirement Account
ISB,Invest To Save Budget
JTWROS,Joint Tenants With Rights Of Survivorship
LASFE,Local Authority Self Financed Expenditure
LEA,Local Education Authority
LGA,Local Government Association
LGF,Local Government Finance
LGFS,Local Government Finance System
LOI,Letter Of Intent
LPSA,Local Public Service Agreement
LSC,Learning And Skills Council
LSP,Local Strategic Partnership
MMKT,Money Market
MPT,Modern Portfolio Theory
MSI,Multiple Streams Of Income
NASD,National Association Of Securities Dealers
NASDAQ,National Association Of Securities Dealers Automated Quotation (world's First Automated Financial System). Nasdaq Now A Proper Noun.
NAV,Net Asset Value
NAO,National Audit Office
NDPB,Non-Departmental Public Bodies
NGFL,National Grid For Learning
NHMF,National Heritage Memorial Fund
NILO,National Investments And Loans Office
NNDR,National Non Domestic Rates
NL,No Load
NMAC,Nissan Motor Acceptance Corporation
NRF,Neighbourhood Renewal Fund
NSCA,Non Scoring Credit Approval
NYSE,New York Stock Exchange
OCPA,Office Of The Commissioner For Public Appointments
OECD,Organisation For Economic Co-operation And Development
OPM,Other People's Money
OSJ,Office Of Supervisory Jurisdiction
OTC,Over The Counter
PAU,Public Appointments Unit
PBGC,The Pension Benefit Guaranty Corporation
PBR,Pre Budget Report
PC,Personal Computer
PE,Price To Earnings (Ratio)
PFI,Private Finance Initiative
PIU,Public Inquiry Unit
PMI,Private Mortgage Insurance
POP,Public Offering Price
PPP,Public Private Partnership
PPT,"Plunge Protection Team (an Unknown Buyer Who ""makes The Market"" During Sharp Downturns)"
PQ,Parliamentary Question
PSA'S,Public Service Agreements (UK)
PSNB,Public Sector Net Borrowing
PSP,Profit Sharing Plan
PSS,Personal Social Services
PWLB,Public Works Loan Board
RA,Revenue Account
RAB,Resource Budgeting And Accounting
REIT,Real Estate Investment Trust
RFR,Reason For Resource
RO,Revenue Outturn
ROE,Return On Equity
ROI,Return On Investment
RR,Registered Representative
RSG,Revenue Support Grant
RTIA,Receipts Taken Into Account
S&P,Standard & Poor's
SAI,Statement Of Additional Information
SCA,Supplementary Credit Approval
SCP,Single Capital Pot
SDA,Service Delivery Agreement
SEC,Securities Exchange Commission
SEP,Simplified Employee Pension
SEQUINS,Select Equity Indexed Notes
SIPC,Securities Investor Protection Corporation
SIV'S,Structured Investment Vehicles
SME,Small And Medium Enterprises
SRO,Self-Regulatory Organization
SSA,Standard Spending Assessment
SSC,Sector Skills Council
STC,Securities Training Corporation
TME,Total Managed Expenditure
TN'S,Technical Notes
TO,Treat Official
TSA,Tax-Sheltered Annuity
TSS,Total Standard Spending
UA,Unitary Authority
UCA,Unsupported Credit Approval
UGMA,Uniform Gifts To Minors Act
UTMA,Uniform Transfers To Minors Act
VIES,Variable Interest Entities
WAC,With Approved Credit
WSJ,Wall Street Journal
WT,Windfall Tax
YTM,Yield To Maturity
,
:),Classic Smiley (Original Smiley)
:-),Classic Smiley (Original Smiley)
;-),Wink (Original Smiley)
:-)),Very Happy (Original Smiley)
|-),Hee-hee (Original Smiley)
:-D,Laugh Loud (Original Smiley)
:-O,Amazement (Original Smiley)
":^D""",Great! I Like It! (Original Smiley)
:-*,Kiss (Original Smiley)
<3,I Love You  (Original Smiley)
:-S,Confusion (Original Smiley)
{},No Comment (Original Smiley)
:-C,Totally Unbelievable (Original Smiley)
:-X,Big Wet Kiss (Original Smiley)
:-9,Licking Lips (Original Smiley)
%-),Confused (Original Smiley)
*:*,Fuzzy Face (Original Smiley)
:-@,Screaming (Original Smiley)
:-7,Wry Remark (Original Smiley)
:-P,Sticking Out Tongue (Original Smiley)
:-(,Frown (Original Smiley)
:>,Devilish Grin (Original Smiley)
(:-|K-,Dressed To Kill (Original Smiley)
:-||,Angry (Original Smiley)
::=)),Seeing Double (Original Smiley)
:->,Hey (Original Smiley)
|:-0,No Explanation (Original Smiley)
#:-),Hair In A Mess (Original Smiley)
>;-(',I Am Spitting Mad (Original Smiley)
#-),Partied All Night (Original Smiley)
:-|,Hmmm (Original Smiley)
:-&,Tongue-tied (Original Smiley)
~#:-(,Bad Hair Day (Original Smiley)
:'-(,I Am Crying (Original Smiley)
:*),I'm Tipsy (Original Smiley)
:-O,Oh (Original Smiley)
O:-),Innocent (Original Smiley)
&:-),Sender Has Curly Hair (Original Smiley)
(:-...,Heart-broken (Original Smiley)
%-),I'm Tipsy But Happy  (Original Smiley)
#:-O,Oh No! (Original Smiley)
:-#,My Lips Are Sealed (Original Smiley)
8-),Sender Wears Glasses (Original Smiley)
:+(,I'm Hurt By That (Original Smiley)
:*)?,Are You Drunk? (Original Smiley)
<:-0,Eeek! (Original Smiley)
:-E,I'm Disappointed (Original Smiley)
(-:,Sender Is Left-handed (Original Smiley)
<:-),Dumb Question (Original Smiley)
~O~,Bird (Original Smiley)
:@,Ouch! (Original Smiley)
:-(*),Sick Comment (Original Smiley)
(:-),Bald (Original Smiley)
://,Frustrated (Original Smiley)
:3-<,Dog (Original Smiley)
D:-),Hats Off To Your Great Idea (Original Smiley)
:-$,Put Your Money Where Your Mouth Is (Original Smiley)
:-{),(Sender Has) Moustache (Original Smiley)
|-|,Going To Sleep (Original Smiley)
:@),Pig (Original Smiley)
O/,Praise The Lord (Original Smiley)
*<:O),Clown (Original Smiley)
:-{)},(Sender Has) Moustache And Beard (Original Smiley)
:=8),Baboon (Original Smiley)
8^,Chicken (Original Smiley)
:-))))))),A Person With Multiple Chins
@>--;--,A Rose
O:-),Angel
0*-),Angel Wink - Female
0;-),Angel Wink - Male
:-{,Angry
:-Z,Angry Face
O:-),Angel
:*) ?,Are You Drunk?
>:-(,Annoyed
~:O,Baby
~~8-O,Bad-Hair Day
D:-),Baseball Cap
:),Basic Little Kid
:-{0,Basic Mustache
:-){,Beard
(:-{~,Beard - Long
: =,Beaver
%-|,Been Up All Night
(:-),Big Face
( '}{' ),Boy And Girl Kissing
=|:O},Bill Clinton Smiley
(:-D,Blabber Mouth
?-(,Black Eye
(:-,Blank Expression
#-),Blinking
:-],Blockhead
":"")",Blush
:-!,Bored
:-}X,Bow Tie-Wearing
:-(=),Bucktoothed
:-C,Bummed Out
:-#|,Bushy Mustache
}|{,Butterfly
?:-),Bad Hair Day
:-O ZZ ZZ ZZ,Bored Or Tired
>^,",^<,Cat"
;),Cheeky Wink
}:-X,Cat
Q:-),Catcher (baseball)
C=:-),Chef
;-(,Chin Up
*<<<<+,Christmas Tree
:-.),Cindy Crawford
*<):O),Clown
:-8(,Condescending Stare
:-S,Confused
%),Confused
:-{,Count Dracula
:`-(,Crying
:*(,Crying Softly
&:-),Curly Hair
:-@!,Cursing
>:->,Devilish
:-E,Disappointed
%-},Dizzy
:3-],Dog
:-)),Double Chin
:*),Drinking Every Night
:-B,Drooling Out Of Both Sides Of Mouth
:#),Drunk
./,Duck
}:-(=,Dracula
C8<],Darth Vader
>:-),Devil
":"")",Embarrased
:-},Embarrassed Smile
0|-),Enjoying The Sun
>:),Evil
>-),Evil Grin
;-),Flirty
:-!,Foot In Mouth
/:-),Frenchman With A Beret
8),Frog
:-<,Frowning
):-(,Frowning Smiley With Hair
:-/,Frustrated
=:-),Funny Hair
~~:-(,Getting Rained On
8*),Glasses And A Half Mustache
:-%,Get Lost
:O,Grinning And Sticking Tongue Out
{:-),Hair Parted In The Middle
}:-),Hair Parted In The Middle Sticking Up On Sides
=:-),Hair Standing On End
:-}),Handlebar Mustache
:-),Happy
%-),Happy Drunk
:-',Has A Dimple
:-#,Has Braces
:-`|,Have A Cold
|:-),Heavy Eyebrows
:0,Hungry
:[,I Am A Vampire!
((:-/,I Am Bald
?$?:-),I Am Rich!
:-) ,",I Have An Outie Belly Button"
:-) .,I Have An Innie Belly Button
#;-),I Have Tangled Hair
(-.-)ZZZ,I'm Sleepy
:'-),I'm So Happy I'm Crying
B-),I'm Wearing Glasses
:-{},(I'm) Wearing Lipstick
(-:,Left Hand Smiley!
O[-<]:,I Am A Skater Or I Like To Skate
?:^[],Jim Carrey
@:-),John Travolta With 'Grease' Quiff
(8 {,John Lennon
@:-},Just Back From Hairdresser
:-T,Keeping A Straight Face
(_X_),Kiss My Butt
:-X,Kid Smiley
:-*,Kiss
D:-),Wearing A Sailor Hat
%-),Like My New Glasses
:-D,Laughing
%OD,Laughing Like Crazy
(-:,Left Hand
?-:,Left Handed Tongue Touching Nose
>;->,Lewd Remark
:-9,Licking Lips
;-,",Like, Duh"
:-X,Lips Are Sealed
8:-),Little Girl
X-(,Mad
;-(,Mad Look
&-L,Makes Me Cry
:-(*),Makes Me Sick
:-S,Makes No Sense
#:-),Messy Hair
:),Midget
~~:-(,Mohawk
:-{,Mustache
:-{)=,Mustache & Goatee
:-3,Handlebar Mustache
{:-{)},Mustache And Beard
:-#,My Lips Are Sealed
8(:-),Mickey Mouse
<:3 )~,Mouse
:-P,Naughty
):-(,Nordic
:/),Not Amused
8-O,Oh My God!
:=),Orangutan
:-O,Oh No
:-*,Oops
=^),Open-minded
:@),Pig
:-$,Put Your Money Where Your Mouth Is
8>,Penguin
:-?,Pensive
:^),Personality
3:],Pet Dog
:8),Pig
:---),Pinnochio
P-(,Pirate
:-<,Pointy Mustache
}:^#),Pointy Nosed
:-T,Pouting
:-[,Pouting Variation
;~[,Prizefighter
=:-),Punk
=:-(,Punk Not Smiling
:-R,Rasberry
:-C,Real Unhappy
~:-(,Really Bummed Out
:-)),Really Happy
[:],Robot
@};---,Rose
:-(,Sad
*<|:-),Santa Claus
:-@,Screaming
$-),Sees Money
:-I,Semi-Smile
